id,value
OSObject.IORegistryEntry.IOService.IOUserClient.VictimUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleMCCUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleFabricTraceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AggressorUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleARMSPMIDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleARMSPMIControllerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOWatchdogUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleAVE2UserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleActuatorDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleAstrisGpioProbeUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleAuthCPUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleBasebandUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleBasebandPCITraceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleBasebandPCIControlUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleBasebandPCIUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.BTDebugUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleBluetoothModuleUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleC26ChargerUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.AppleC26ChargerUserClient.AppleSMCWirelessChargerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleConvergedIPCControlUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleConvergedIPCUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleDialogPMUUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.DIDeviceCreatorUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.DIDeviceIOUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleDockChannelUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleEffaceableStorageUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleEmbeddedGPSControlUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleEmbeddedPCIEUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleTempSensorUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.AppleTempSensorUserClient.AppleT700XTempSensorUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleTempSensorUserClient.ApplePMGRTempUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleDieTempControllerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleEmbeddedTouchEEPROMDriverUC,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleEpochManagerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleFirmwareUpdateUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.ANEClientHintsUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.ANEPrivilegedVMAccessUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleH16CamInUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleH16PearlCamUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleH16PhotonDetectorUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleHPMUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleHapticsSupportUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleIDVUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleIPAppenderUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleImage4UserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AIDLoggerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AIDUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.AIDUserClient.AppleHIDTransportDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AIDUserClient.AppleHIDTransportBootloaderUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AIDUserClient.AppleHIDTransportInterfaceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOSurfaceAcceleratorClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleMobileApNonceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleMobileFileIntegrityUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleMultitouchTimestampSyncUC,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleMultitouchDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleMultitouchSPIUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.ApplePMPThermalUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.ApplePMPv2UserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.ApplePMPUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.ApplePPMUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.ApplePTDUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.ApplePhotonDetectorUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleProResUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSARServiceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleCredentialManagerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleKeyStoreTestUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleKeyStoreUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSEPUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSMCSensorDispatcherUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSMCClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPUHapticsManagerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPUUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPUProfileDriverUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPUDispADCUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPUHapticsAudioUC,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPUAppDriverUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPUHIDDriverUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPUBattChannelUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPUHIDDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPURoseDriverUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSPURoseDriverUserClientV2,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSSEUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleSmartBatteryManagerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleCLPCUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleMCCUserClientV2,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleThunderboltDPOutAdapterUserClient,0
